Date,Open,High,Low,Close,Volume,FearGreedIndex,SMA5,SMA20,RSI14,MACD,MACD_Signal,MACD_Histogram,ATR14,BB_Middle,BB_Upper,BB_Lower
2018-05-01,9251.4697265625,9255.8798828125,8891.0498046875,9119.009765625,7713019904,56.0,9222.833984375,8696.635986328125,56.88938622528777,375.65441201696376,317.2258248394237,58.42858717754007,446.2885406260795,8696.635986328125,9829.467403575194,7563.804569081056
2018-05-02,9104.599609375,9256.51953125,9015.1396484375,9235.919921875,7558159872,52.0,9272.6080078125,8763.969482421875,58.20436025915718,366.93413948349735,327.16748776823846,39.76665171525889,431.6522079251095,8763.969482421875,9856.197859438858,7671.741105404892
2018-05-03,9233.9697265625,9798.330078125,9188.150390625,9743.8603515625,10207299584,55.0,9351.683984375,8856.364501953125,63.42435629988995,396.4398959695736,341.0219694085055,55.4179265610681,444.40417075188736,8856.364501953125,9951.884737381006,7760.844266525244
2018-05-04,9695.5,9779.2001953125,9585.9599609375,9700.759765625,8217829888,56.0,9408.019921875,8942.090478515625,62.708671371553216,411.6008846976165,355.13775246632775,56.46313223128874,426.46388958210974,8942.090478515625,10020.026579617264,7864.1543774139855
2018-05-05,9700.2802734375,9964.5,9695.1201171875,9858.150390625,7651939840,63.0,9531.5400390625,9018.54248046875,64.29318956532082,431.3439213398433,370.3789862410309,60.96493509881242,415.2436033842805,9018.54248046875,10128.159905059098,7908.925055878402
2018-05-06,9845.3095703125,9940.1396484375,9465.25,9654.7998046875,7222280192,67.0,9638.698046875,9098.348974609375,60.70430011190792,425.6748130350061,381.4381515998259,44.23666143518017,419.5040351737962,9098.348974609375,10148.333800072382,8048.364149146368
2018-05-07,9645.669921875,9665.849609375,9231.5302734375,9373.009765625,7394019840,56.0,9666.116015625,9171.894970703124,56.03631392932818,393.90323146885385,383.9311675736315,9.972063895222334,420.56227094263215,9171.894970703124,10071.735294276297,8272.054647129951
2018-05-08,9380.8701171875,9462.75,9127.76953125,9234.8203125,7415869952,62.0,9564.3080078125,9225.464990234375,53.849432771183054,353.49838091595484,377.8446102420962,-24.346229326141383,414.44928507172983,9225.464990234375,9997.22995112871,8453.700029340042
2018-05-09,9223.73046875,9374.759765625,9031.6201171875,9325.1796875,7226890240,53.0,9489.1919921875,9277.00849609375,55.08379239433937,325.02184266606673,367.28005672689034,-42.258214060823605,409.3557395978563,9277.00849609375,9920.10471272024,8633.912279467258
2018-05-10,9325.9599609375,9396.0400390625,9040.51953125,9043.9404296875,6906699776,63.0,9326.35,9286.914013671874,50.55180455892196,276.57217141782166,349.1384796650766,-72.56630824725494,405.5103658989023,9286.914013671874,9908.895883035128,8664.932144308621
2018-05-11,9052.9599609375,9052.9599609375,8394.4599609375,8441.490234375,8488520192,41.0,9083.6880859375,9264.209521484376,42.487670907906256,187.40250262098743,316.7912842562588,-129.38878163527136,423.5810540489807,9264.209521484376,9969.276393101984,8559.142649866768
2018-05-12,8441.4404296875,8664.8603515625,8223.5,8504.8896484375,6821380096,44.0,8910.0640625,9249.331005859374,43.50896163624459,120.46208855869918,277.5254451167469,-157.0633565580477,424.8510038713749,9249.331005859374,10003.588664177514,8495.073347541234
2018-05-13,8515.490234375,8773.5498046875,8395.1201171875,8723.9404296875,5866379776,40.0,8807.8880859375,9238.984033203125,47.01022481243398,84.11724426706314,238.84380494681014,-154.726560679747,421.5351955591339,9238.984033203125,10015.773067440252,8462.194998965999
2018-05-14,8713.099609375,8881.1201171875,8367.9697265625,8716.7900390625,7364149760,40.0,8686.21015625,9189.94853515625,46.90802220742443,54.1129363047603,201.8976312184002,-147.7846949136399,428.0791380638387,9189.94853515625,9968.584020205577,8411.313050106924
2018-05-15,8705.1904296875,8836.1904296875,8456.4501953125,8510.3798828125,6705710080,40.0,8579.498046875,9173.180517578125,43.9384086374398,13.522848527403767,164.22267468020092,-150.69982615279716,424.6263592289216,9173.180517578125,9994.043108215752,8352.317926940497
2018-05-16,8504.41015625,8508.4296875,8175.490234375,8368.830078125,6760220160,32.0,8564.966015625,9127.546533203125,41.975882075888954,-29.724331142488154,125.43327351566312,-155.15760465815129,418.2165941723915,9127.546533203125,10017.790562265816,8237.302504140434
2018-05-17,8370.0498046875,8445.5400390625,8054.1201171875,8094.31982421875,5862530048,31.0,8482.85205078125,9082.910034179688,38.39432228088727,-85.16696417389903,83.31322597775069,-168.4801901516497,416.3025461511493,9082.910034179688,10079.969903690297,8085.850164669078
2018-05-18,8091.830078125,8274.1201171875,7974.81982421875,8250.9697265625,5764190208,37.0,8388.25791015625,9028.034497070312,41.46372381981423,-115.13807232580075,43.6229663170404,-158.76103864284116,407.9452423524065,9028.034497070312,10079.891183620532,7976.177810520092
2018-05-19,8255.73046875,8372.0595703125,8183.35009765625,8247.1796875,4712399872,31.0,8294.33583984375,8969.439477539063,41.40996668800094,-137.60993428084475,7.376386197463372,-144.98632047830813,392.28554451696675,8969.439477539063,10057.572052742229,7881.306902335897
2018-05-20,8246.990234375,8562.41015625,8205.240234375,8513.25,5191059968,32.0,8294.90986328125,8933.074487304688,46.64018172304761,-132.42290735923052,-20.583472513875407,-111.83943484535511,389.77728575682625,8933.074487304688,10031.102017535808,7835.046957073568
2018-05-21,8522.330078125,8557.51953125,8365.1201171875,8418.990234375,5154990080,41.0,8304.94189453125,8898.073510742188,45.10405854762186,-134.36920195928542,-43.34061840295741,-91.02858355632802,375.6788663500887,8898.073510742188,10014.633550319722,7781.513471164654
2018-05-22,8419.8701171875,8423.25,8004.580078125,8041.77978515625,5137010176,30.0,8294.43388671875,8838.36650390625,39.49771370276278,-164.45366573507636,-67.56322786938121,-96.89043786569515,378.7496560304395,8838.36650390625,10002.954999776213,7673.778008036288
2018-05-23,8037.080078125,8054.66015625,7507.8798828125,7557.81982421875,6491120128,26.0,8155.80390625,8729.064477539063,33.70856333449234,-224.75649132382932,-99.00188056027083,-125.75461076355849,390.75184298808665,8729.064477539063,9942.51195105567,7515.617004022454
2018-05-24,7561.1201171875,7738.60009765625,7331.14013671875,7587.33984375,6049220096,27.0,8023.8359375,8623.393481445313,34.340728878172726,-267.0860939584072,-132.61872323989812,-134.4673707185091,391.94527998447336,8623.393481445313,9847.998729933384,7398.788232957242
2018-05-25,7592.2998046875,7659.14013671875,7392.64990234375,7480.14013671875,4867829760,25.0,7817.21396484375,8504.49296875,33.106081849711416,-305.75813995712724,-167.24660658334395,-138.5115333737833,382.98420529808243,8504.49296875,9687.53540418501,7321.450533314992
2018-05-26,7486.47998046875,7595.16015625,7349.1201171875,7355.8798828125,4051539968,23.0,7604.59189453125,8389.54697265625,31.6840876204396,-342.48482713431895,-202.29425069353897,-140.19057644077998,373.20247913839796,8389.54697265625,9549.70227124542,7229.39167406708
2018-05-27,7362.080078125,7381.740234375,7270.9599609375,7368.22021484375,4056519936,19.0,7469.87998046875,8289.307495117188,31.99648021713807,-366.37192220074394,-235.10978499497998,-131.26213720576396,354.4580358740481,8289.307495117188,9438.633541819901,7139.9814484144745
2018-05-28,7371.31005859375,7419.0498046875,7100.89013671875,7135.990234375,5040600064,22.0,7385.5140625,8184.365991210938,29.28274900803426,-399.43717264971565,-267.9752625259271,-131.46191012378853,351.86529530938395,8184.365991210938,9352.325206200487,7016.40677622139
2018-05-29,7129.4599609375,7526.419921875,7090.68017578125,7472.58984375,5662660096,16.0,7362.5640625,8091.736499023437,37.5502681023801,-393.93975418922673,-293.16816085858704,-100.77159333063969,357.85632750826727,8091.736499023437,9173.790894827118,7009.682103219757
2018-05-30,7469.72998046875,7573.77001953125,7313.60009765625,7406.52001953125,4922540032,38.0,7347.8400390625,8009.865478515625,36.644671271751825,-390.4138453138239,-312.6172977496344,-77.7965475641895,350.878727105891,8009.865478515625,9037.774092703297,6981.956864327953
2018-05-31,7406.14990234375,7608.89990234375,7361.1298828125,7494.169921875,5127130112,25.0,7375.498046875,7962.499462890625,38.754884204994774,-376.210205463065,-325.33587929232056,-50.87432617074444,343.5138194219881,7962.499462890625,8993.785241339117,6931.213684442132
2018-06-01,7500.7001953125,7604.72998046875,7407.33984375,7541.4501953125,4921460224,24.0,7410.14404296875,7914.327490234375,39.91741631740963,-357.02305606972914,-331.6733146478023,-25.349741421926865,333.076413514614,7914.327490234375,8929.653681909658,6899.00129855909
2018-06-02,7536.72021484375,7695.830078125,7497.259765625,7643.4501953125,4939299840,27.0,7511.63603515625,7860.302978515625,42.45514323949714,-329.7849982137568,-331.2956513609932,1.5106531472363827,323.468834870713,7860.302978515625,8810.457157304989,6910.148799726261
2018-06-03,7632.08984375,7754.89013671875,7613.0400390625,7720.25,4851760128,40.0,7561.16806640625,7810.4759765625,44.36070289376681,-298.559925750802,-324.748506238955,26.18858048815298,310.49606792682283,7810.4759765625,8676.542367411215,6944.409585713786
2018-06-04,7722.52978515625,7753.81982421875,7474.0400390625,7514.47021484375,4993169920,41.0,7582.75810546875,7760.680493164063,40.4916164948093,-287.108926759518,-317.2205903430676,30.111663583549614,308.3020477289248,7760.680493164063,8572.901780306624,6948.459206021502
2018-06-05,7500.89990234375,7643.22998046875,7397.0,7633.759765625,4961739776,26.0,7610.67607421875,7723.926977539062,43.564504475011276,-265.3494741910954,-306.8463671126732,41.496892921577796,303.8683286389123,7723.926977539062,8487.833206288708,6960.020748789416
2018-06-06,7625.97021484375,7680.43017578125,7502.009765625,7653.97998046875,4692259840,42.0,7633.18203125,7701.909985351563,44.091509057539774,-243.66453581871428,-294.2100008538814,50.545465035167126,294.9077630330079,7701.909985351563,8446.996610414786,6956.82336028834
2018-06-07,7650.81982421875,7741.27001953125,7650.81982421875,7678.240234375,4485799936,38.0,7640.1400390625,7673.273510742188,44.75804769139292,-221.96281700089457,-279.76056408328407,57.79774708238949,280.3036510529716,7673.273510742188,8374.481482512634,6972.065538971741
2018-06-08,7685.14013671875,7698.18994140625,7558.39990234375,7624.919921875,4227579904,40.0,7621.0740234375,7642.1605224609375,43.52971665677232,-206.68402727752255,-265.14525672213176,58.461229444609216,270.2669644822236,7642.1605224609375,8292.094751042861,6992.226293879014
2018-06-09,7632.52001953125,7683.580078125,7531.97998046875,7531.97998046875,3845220096,39.0,7624.5759765625,7593.097021484375,41.397119598773195,-199.77210441808438,-252.0706262613223,52.29852184323792,261.7907597089398,7593.097021484375,8106.3748875188985,7079.819155449851
